                   0Inputs = 0 0000 0000,outputs = 0000 0
                 780Inputs = 1 0011 0001,outputs = 0101 0
                 800Inputs = 0 0100 0001,outputs = 0101 0
                 820Inputs = 1 0100 0001,outputs = 0110 0
                 840Inputs = 0 0101 0001,outputs = 0110 0
                 860Inputs = 1 0101 0001,outputs = 0111 0
                 880Inputs = 0 0110 0001,outputs = 0111 0
                 900Inputs = 1 0110 0001,outputs = 1000 0
                 920Inputs = 0 0111 0001,outputs = 1000 0
                 940Inputs = 1 0111 0001,outputs = 1001 0
                 960Inputs = 0 1000 0001,outputs = 1001 0
                 980Inputs = 1 1000 0001,outputs = 1010 0
                1000Inputs = 0 1001 0001,outputs = 1010 0
                1020Inputs = 1 1001 0001,outputs = 1011 0
                1040Inputs = 0 1010 0001,outputs = 1011 0
                1060Inputs = 1 1010 0001,outputs = 1100 0
                1080Inputs = 0 1011 0001,outputs = 1100 0
                1100Inputs = 1 1011 0001,outputs = 1101 0
                1120Inputs = 0 1100 0001,outputs = 1101 0
                1140Inputs = 1 1100 0001,outputs = 1110 0
                1160Inputs = 0 1101 0001,outputs = 1110 0
                1180Inputs = 1 1101 0001,outputs = 1111 0
                1200Inputs = 0 1110 0001,outputs = 1111 0
                1220Inputs = 1 1110 0001,outputs = 0000 1
                1240Inputs = 0 1111 0001,outputs = 0000 1
                1260Inputs = 1 1111 0001,outputs = 0001 1
                1280Inputs = 0 0000 0010,outputs = 0010 0
                1300Inputs = 1 0000 0010,outputs = 0011 0
                1320Inputs = 0 0001 0010,outputs = 0011 0
                1340Inputs = 1 0001 0010,outputs = 0100 0
                1360Inputs = 0 0010 0010,outputs = 0100 0
                1380Inputs = 1 0010 0010,outputs = 0101 0
                1400Inputs = 0 0011 0010,outputs = 0101 0
                1420Inputs = 1 0011 0010,outputs = 0110 0
                1440Inputs = 0 0100 0010,outputs = 0110 0
                1460Inputs = 1 0100 0010,outputs = 0111 0
                1480Inputs = 0 0101 0010,outputs = 0111 0
                1500Inputs = 1 0101 0010,outputs = 1000 0
                1520Inputs = 0 0110 0010,outputs = 1000 0
                1540Inputs = 1 0110 0010,outputs = 1001 0
                1560Inputs = 0 0111 0010,outputs = 1001 0
                1580Inputs = 1 0111 0010,outputs = 1010 0
                1600Inputs = 0 1000 0010,outputs = 1010 0
                1620Inputs = 1 1000 0010,outputs = 1011 0
                1640Inputs = 0 1001 0010,outputs = 1011 0
                1660Inputs = 1 1001 0010,outputs = 1100 0
                1680Inputs = 0 1010 0010,outputs = 1100 0
                1700Inputs = 1 1010 0010,outputs = 1101 0
                1720Inputs = 0 1011 0010,outputs = 1101 0
                1740Inputs = 1 1011 0010,outputs = 1110 0
                1760Inputs = 0 1100 0010,outputs = 1110 0
                1780Inputs = 1 1100 0010,outputs = 1111 0
                1800Inputs = 0 1101 0010,outputs = 1111 0
                1820Inputs = 1 1101 0010,outputs = 0000 1
                1840Inputs = 0 1110 0010,outputs = 0000 x
                1860Inputs = 1 1110 0010,outputs = 0001 x
                1880Inputs = 0 1111 0010,outputs = 0001 x
                1900Inputs = 1 1111 0010,outputs = 0010 x
                1920Inputs = 0 0000 0011,outputs = 0011 0
                1940Inputs = 1 0000 0011,outputs = 0100 0
                1960Inputs = 0 0001 0011,outputs = 0100 0
                1980Inputs = 1 0001 0011,outputs = 0101 0
                2000Inputs = 0 0010 0011,outputs = 0101 0
                2020Inputs = 1 0010 0011,outputs = 0110 0
                2040Inputs = 0 0011 0011,outputs = 0110 0
                2060Inputs = 1 0011 0011,outputs = 0111 0
                2080Inputs = 0 0100 0011,outputs = 0111 0
                2100Inputs = 1 0100 0011,outputs = 1000 0
                2120Inputs = 0 0101 0011,outputs = 1000 0
                2140Inputs = 1 0101 0011,outputs = 1001 0
                2160Inputs = 0 0110 0011,outputs = 1001 0
                2180Inputs = 1 0110 0011,outputs = 1010 0
                2200Inputs = 0 0111 0011,outputs = 1010 0
                2220Inputs = 1 0111 0011,outputs = 1011 0
                2240Inputs = 0 1000 0011,outputs = 1011 0
                2260Inputs = 1 1000 0011,outputs = 1100 0
                2280Inputs = 0 1001 0011,outputs = 1100 0
                2300Inputs = 1 1001 0011,outputs = 1101 0
                2320Inputs = 0 1010 0011,outputs = 1101 0
                2340Inputs = 1 1010 0011,outputs = 1110 0
                2360Inputs = 0 1011 0011,outputs = 1110 0
                2380Inputs = 1 1011 0011,outputs = 1111 0
                2400Inputs = 0 1100 0011,outputs = 1111 0
                2420Inputs = 1 1100 0011,outputs = 0000 1
                2440Inputs = 0 1101 0011,outputs = 0000 1
                2460Inputs = 1 1101 0011,outputs = 0001 1
                2480Inputs = 0 1110 0011,outputs = 0001 x
                2500Inputs = 1 1110 0011,outputs = 0010 x
                2520Inputs = 0 1111 0011,outputs = 0010 x
                2540Inputs = 1 1111 0011,outputs = 0011 x
                2560Inputs = 0 0000 0100,outputs = 0100 0
                2580Inputs = 1 0000 0100,outputs = 0101 0
                2600Inputs = 0 0001 0100,outputs = 0101 0
                2620Inputs = 1 0001 0100,outputs = 0110 0
                2640Inputs = 0 0010 0100,outputs = 0110 0
                2660Inputs = 1 0010 0100,outputs = 0111 0
                2680Inputs = 0 0011 0100,outputs = 0111 0
                2700Inputs = 1 0011 0100,outputs = 1000 0
                2720Inputs = 0 0100 0100,outputs = 1000 0
                2740Inputs = 1 0100 0100,outputs = 1001 0
                2760Inputs = 0 0101 0100,outputs = 1001 0
                2780Inputs = 1 0101 0100,outputs = 1010 0
                2800Inputs = 0 0110 0100,outputs = 1010 0
                2820Inputs = 1 0110 0100,outputs = 1011 0
                2840Inputs = 0 0111 0100,outputs = 1011 0
                2860Inputs = 1 0111 0100,outputs = 1100 0
                2880Inputs = 0 1000 0100,outputs = 1100 0
                2900Inputs = 1 1000 0100,outputs = 1101 0
                2920Inputs = 0 1001 0100,outputs = 1101 0
                2940Inputs = 1 1001 0100,outputs = 1110 0
                2960Inputs = 0 1010 0100,outputs = 1110 0
                2980Inputs = 1 1010 0100,outputs = 1111 0
                3000Inputs = 0 1011 0100,outputs = 1111 0
                3020Inputs = 1 1011 0100,outputs = 0000 1
                3040Inputs = 0 1100 0100,outputs = 0000 1
                3060Inputs = 1 1100 0100,outputs = 0001 1
                3080Inputs = 0 1101 0100,outputs = 0001 1
                3100Inputs = 1 1101 0100,outputs = 0010 1
                3120Inputs = 0 1110 0100,outputs = 0010 1
                3140Inputs = 1 1110 0100,outputs = 0011 1
                3160Inputs = 0 1111 0100,outputs = 0011 1
                3180Inputs = 1 1111 0100,outputs = 0100 1
                3200Inputs = 0 0000 0101,outputs = 0101 0
                3220Inputs = 1 0000 0101,outputs = 0110 0
                3240Inputs = 0 0001 0101,outputs = 0110 0
                3260Inputs = 1 0001 0101,outputs = 0111 0
                3280Inputs = 0 0010 0101,outputs = 0111 0
                3300Inputs = 1 0010 0101,outputs = 1000 0
                3320Inputs = 0 0011 0101,outputs = 1000 0
                3340Inputs = 1 0011 0101,outputs = 1001 0
                3360Inputs = 0 0100 0101,outputs = 1001 0
                3380Inputs = 1 0100 0101,outputs = 1010 0
                3400Inputs = 0 0101 0101,outputs = 1010 0
                3420Inputs = 1 0101 0101,outputs = 1011 0
                3440Inputs = 0 0110 0101,outputs = 1011 0
                3460Inputs = 1 0110 0101,outputs = 1100 0
                3480Inputs = 0 0111 0101,outputs = 1100 0
                3500Inputs = 1 0111 0101,outputs = 1101 0
                3520Inputs = 0 1000 0101,outputs = 1101 0
                3540Inputs = 1 1000 0101,outputs = 1110 0
                3560Inputs = 0 1001 0101,outputs = 1110 0
                3580Inputs = 1 1001 0101,outputs = 1111 0
                3600Inputs = 0 1010 0101,outputs = 1111 0
                3620Inputs = 1 1010 0101,outputs = 0000 1
                3640Inputs = 0 1011 0101,outputs = 0000 1
                3660Inputs = 1 1011 0101,outputs = 0001 1
                3680Inputs = 0 1100 0101,outputs = 0001 1
                3700Inputs = 1 1100 0101,outputs = 0010 1
                3720Inputs = 0 1101 0101,outputs = 0010 1
                3740Inputs = 1 1101 0101,outputs = 0011 1
                3760Inputs = 0 1110 0101,outputs = 0011 1
                3780Inputs = 1 1110 0101,outputs = 0100 1
                3800Inputs = 0 1111 0101,outputs = 0100 1
                3820Inputs = 1 1111 0101,outputs = 0101 1
                3840Inputs = 0 0000 0110,outputs = 0110 0
                3860Inputs = 1 0000 0110,outputs = 0111 0
                3880Inputs = 0 0001 0110,outputs = 0111 0
                3900Inputs = 1 0001 0110,outputs = 1000 0
                3920Inputs = 0 0010 0110,outputs = 1000 0
                3940Inputs = 1 0010 0110,outputs = 1001 0
                3960Inputs = 0 0011 0110,outputs = 1001 0
                3980Inputs = 1 0011 0110,outputs = 1010 0
                4000Inputs = 0 0100 0110,outputs = 1010 0
                4020Inputs = 1 0100 0110,outputs = 1011 0
                4040Inputs = 0 0101 0110,outputs = 1011 0
                4060Inputs = 1 0101 0110,outputs = 1100 0
                4080Inputs = 0 0110 0110,outputs = 1100 0
                4100Inputs = 1 0110 0110,outputs = 1101 0
                4120Inputs = 0 0111 0110,outputs = 1101 0
                4140Inputs = 1 0111 0110,outputs = 1110 0
                4160Inputs = 0 1000 0110,outputs = 1110 0
                4180Inputs = 1 1000 0110,outputs = 1111 0
                4200Inputs = 0 1001 0110,outputs = 1111 0
                4220Inputs = 1 1001 0110,outputs = 0000 1
                4240Inputs = 0 1010 0110,outputs = 0000 x
                4260Inputs = 1 1010 0110,outputs = 0001 x
                4280Inputs = 0 1011 0110,outputs = 0001 x
                4300Inputs = 1 1011 0110,outputs = 0010 x
                4320Inputs = 0 1100 0110,outputs = 0010 1
                4340Inputs = 1 1100 0110,outputs = 0011 1
                4360Inputs = 0 1101 0110,outputs = 0011 1
                4380Inputs = 1 1101 0110,outputs = 0100 1
                4400Inputs = 0 1110 0110,outputs = 0100 1
                4420Inputs = 1 1110 0110,outputs = 0101 1
                4440Inputs = 0 1111 0110,outputs = 0101 1
                4460Inputs = 1 1111 0110,outputs = 0110 1
                4480Inputs = 0 0000 0111,outputs = 0111 0
                4500Inputs = 1 0000 0111,outputs = 1000 0
                4520Inputs = 0 0001 0111,outputs = 1000 0
                4540Inputs = 1 0001 0111,outputs = 1001 0
                4560Inputs = 0 0010 0111,outputs = 1001 0
                4580Inputs = 1 0010 0111,outputs = 1010 0
                4600Inputs = 0 0011 0111,outputs = 1010 0
                4620Inputs = 1 0011 0111,outputs = 1011 0
                4640Inputs = 0 0100 0111,outputs = 1011 0
                4660Inputs = 1 0100 0111,outputs = 1100 0
                4680Inputs = 0 0101 0111,outputs = 1100 0
                4700Inputs = 1 0101 0111,outputs = 1101 0
                4720Inputs = 0 0110 0111,outputs = 1101 0
                4740Inputs = 1 0110 0111,outputs = 1110 0
                4760Inputs = 0 0111 0111,outputs = 1110 0
                4780Inputs = 1 0111 0111,outputs = 1111 0
                4800Inputs = 0 1000 0111,outputs = 1111 0
                4820Inputs = 1 1000 0111,outputs = 0000 1
                4840Inputs = 0 1001 0111,outputs = 0000 1
                4860Inputs = 1 1001 0111,outputs = 0001 1
                4880Inputs = 0 1010 0111,outputs = 0001 x
                4900Inputs = 1 1010 0111,outputs = 0010 x
                4920Inputs = 0 1011 0111,outputs = 0010 x
                4940Inputs = 1 1011 0111,outputs = 0011 x
                4960Inputs = 0 1100 0111,outputs = 0011 1
                4980Inputs = 1 1100 0111,outputs = 0100 1
                5000Inputs = 0 1101 0111,outputs = 0100 1
                5020Inputs = 1 1101 0111,outputs = 0101 1
                5040Inputs = 0 1110 0111,outputs = 0101 1
                5060Inputs = 1 1110 0111,outputs = 0110 1
                5080Inputs = 0 1111 0111,outputs = 0110 1
                5100Inputs = 1 1111 0111,outputs = 0111 1
